abscissa	curvature	X	Y	theta	width_L	width_R
7.23280353157885883775e+02	7.81722844404587613454e-02	-2.40559823248089443837e+01	-3.88120530519658046842e+01	-2.29245454930026593132e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.27170353917947522859e+02	9.36783393668035313517e-02	-2.61112735483686364546e+01	-4.20934321207153203659e+01	-1.95820502069443236337e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.33216181255970923303e+02	1.43674695287677248179e-02	-2.72127795269460257543e+01	-4.80097986164142156440e+01	-1.63159186806617628740e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.38420234562453060789e+02	1.95716440154247439676e-02	-2.73110852483669539481e+01	-5.32112295005065618625e+01	-1.54328139016597165600e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.44229115468608597439e+02	5.34375159097233171784e-03	-2.69014940497335217628e+01	-5.90043538523550168406e+01	-1.47091610681727558152e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.60070853477085620398e+02	9.86047344841210450994e-05	-2.48738121420973179454e+01	-7.47144748537750871265e+01	-1.42780791903977211099e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.69183917569254958835e+02	-5.70047221866278319702e-02	-2.43584114616413494048e+01	-8.37856949226070923942e+01	-1.68710246589047607735e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.76145246359359589405e+02	-7.11442935228111944523e-02	-2.66026840069092926910e+01	-9.03144438240981202171e+01	-2.13314618238041608933e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.82331334182071032046e+02	-6.43701183580227404013e-02	-3.09014457449911255082e+01	-9.46997880015585167257e+01	-2.55229820887918057437e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
7.91336647749598910195e+02	-6.19330760602064545051e-02	-3.93808865083387971140e+01	-9.73516686030073827851e+01	-3.12099814403515329886e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
